CSISPBD,COMPUTER AND INFORMATION SYSTEMS (POST-BACCALAUREATE DIPLOMA),60
CSISDIP,COMPUTING STUDIES AND INFORMATION SYSTEMS (DIPLOMA),60
DAPDD,DATA ANALYTICS (POST-DEGREE DIPLOMA),30
ETPDD,EMERGING TECHNOLOGY (POST-DEGREE DIPLOMA),30
ICTPDD,INFORMATION AND COMMUNICATION TECHNOLOGY (POST-DEGREE DIPLOMA),30
WEBMOB,WEB AND MOBILE COMPUTING,15
